participant_id	stc_ref_time	fmriprep_start	fmriprep_stop
sub-v1s20x0050301	n/a	2026-03-09T07:13:17	2026-03-09T12:22:20
sub-v1s20x0050302	n/a	2026-03-09T07:17:22	2026-03-09T11:13:11
sub-v1s20x0050303	n/a	2026-03-09T07:18:13	2026-03-09T11:29:57
sub-v1s20x0050304	n/a	2026-03-09T07:19:24	2026-03-09T10:34:56
sub-v1s20x0050305	n/a	2026-03-09T07:19:53	2026-03-09T12:17:57
sub-v1s20x0050306	n/a	2026-03-09T07:21:03	2026-03-09T11:35:03
sub-v1s20x0050307	n/a	2026-03-09T07:22:48	2026-03-09T11:17:51
sub-v1s20x0050308	n/a	2026-03-09T07:24:57	2026-03-09T10:25:21
sub-v1s20x0050310	n/a	2026-03-09T07:31:24	2026-03-09T11:21:10
sub-v1s20x0050311	n/a	2026-03-09T07:34:20	2026-03-09T11:20:35
sub-v1s20x0050312	n/a	2026-03-09T07:34:53	2026-03-09T11:47:30
sub-v1s20x0050313	n/a	2026-03-09T07:35:12	2026-03-09T12:10:21
sub-v1s20x0050314	n/a	2026-03-09T07:35:42	2026-03-09T11:57:20
sub-v1s20x0050315	n/a	2026-03-09T07:38:49	2026-03-09T11:29:39
sub-v1s20x0050316	n/a	2026-03-09T07:39:37	2026-03-09T12:17:28
sub-v1s20x0050317	n/a	2026-03-09T07:42:00	2026-03-09T12:14:15
sub-v1s20x0050318	n/a	2026-03-09T07:42:34	2026-03-09T10:52:18
sub-v1s20x0050319	n/a	2026-03-09T07:44:21	2026-03-09T11:37:15
sub-v1s20x0050320	n/a	2026-03-09T07:44:33	2026-03-09T11:34:33
sub-v1s20x0050322	n/a	2026-03-09T07:47:17	2026-03-09T12:39:48
sub-v1s20x0050324	n/a	2026-03-09T07:54:36	2026-03-09T12:41:33
sub-v1s20x0050325	n/a	2026-03-09T07:57:38	2026-03-09T11:48:15
sub-v1s20x0050326	n/a	2026-03-09T08:03:52	2026-03-09T12:41:19
sub-v1s20x0050327	n/a	2026-03-09T08:04:49	2026-03-09T12:04:01
sub-v1s20x0050330	n/a	2026-03-09T08:06:43	2026-03-09T11:13:47
sub-v1s20x0050332	n/a	2026-03-09T08:11:05	2026-03-09T12:02:24
sub-v1s20x0050333	n/a	2026-03-09T08:12:51	2026-03-09T12:10:40
sub-v1s20x0050334	n/a	2026-03-09T08:22:42	2026-03-09T12:46:06
sub-v1s20x0050335	n/a	2026-03-09T08:32:53	2026-03-09T12:32:10
sub-v1s20x0050336	n/a	2026-03-09T08:34:13	2026-03-09T11:28:34
sub-v1s20x0050337	n/a	2026-03-09T08:36:21	2026-03-09T11:50:52
sub-v1s20x0050338	n/a	2026-03-09T08:40:56	2026-03-09T11:35:20
sub-v1s20x0050339	n/a	2026-03-09T08:41:42	2026-03-09T12:04:13
sub-v1s20x0050340	n/a	2026-03-09T08:43:01	2026-03-09T12:19:11
sub-v1s20x0050344	n/a	2026-03-09T08:43:14	2026-03-09T12:24:55
sub-v1s20x0050345	n/a	2026-03-09T08:49:14	2026-03-09T12:30:27
